"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM1218503",1.38777878078145e-17,0.410514509067847,2.0442291861117e-16,0.629447189070537,0.175947988819148,0.0743108287221123
"GSM1218504",0,0.377777993826867,-4.44907196443172e-17,0.419769974268766,0.364169004369676,0.125723493450176
"GSM1218505",0,0.388382506888242,-4.87615026665189e-17,0.378915560970616,0.340472312954931,0.16618815022199
"GSM1218506",0,0.336796307928989,-4.45370376517403e-17,0.395249156748812,0.402670714158815,0.111825387162882
"GSM1218507",0,0.46100594048027,-4.07144203386868e-17,0.360270111497366,0.301497294091976,0.147958713781725
"GSM1218508",-2.77555756156289e-17,0.393896119424452,-4.33150197265028e-17,0.367854719631394,0.355355497516882,0.163994945978901
"GSM1218509",0,0.394502438128196,-4.35047868473782e-17,0.414558649814978,0.324680643568339,0.149239961925296
"GSM1218510",0,0.368256719588133,-4.27043250193695e-17,0.437469596713878,0.345275333070337,0.127443689858548
"GSM1218511",0,0.388754382410481,-6.31280795711959e-17,0.415161881343152,0.324825469148536,0.151307082140007
"GSM1218512",0,0.34415035185472,1.74920270927935e-16,0.393793404426462,0.404108190612846,0.108627839185889
"GSM1218513",0,0.413958003781541,-4.85791078475083e-17,0.392566861556987,0.31469862250853,0.152270897087143
"GSM1218514",2.77555756156289e-17,0.346408107877948,-4.21618612265816e-17,0.44084070466141,0.349199692538963,0.15378957316902
"GSM1218515",0,0.375131118016497,-4.77180195547672e-17,0.408942400317014,0.318005995774059,0.177242338833169
"GSM1218516",2.77555756156289e-17,0.385525914057435,-4.08160505786925e-17,0.382184621881577,0.340566936381441,0.181291663008751
"GSM1218517",-2.77555756156289e-17,0.377324004392868,-4.6017370991867e-17,0.40749538101281,0.338526152835866,0.180840569575764
"GSM1218518",0,0.423124691609763,-4.78914633254444e-17,0.413556745549439,0.322146605197944,0.134085024120916
"GSM1218519",2.77555756156289e-17,0.390503622314263,-4.27124319996484e-17,0.392435906251063,0.355166449770387,0.135263092054117
"GSM1218520",0,0.414728256306072,-3.97168162760556e-17,0.385532010172353,0.349109889469676,0.146579932691103
"GSM1218521",0,0.389227087079155,-4.71995365568185e-17,0.416283368839196,0.308837102124406,0.178324913903345
"GSM1218522",-2.77555756156289e-17,0.335323962535892,-3.12883878742153e-17,0.508288041399188,0.330575573581084,0.0987343961506652
"GSM1218523",0,0.433524035571052,-4.58460465500144e-17,0.391899261227603,0.317681310136936,0.139945411943869
"GSM1218524",0,0.380879489167163,-4.20872511692808e-17,0.386313118733946,0.329186314034345,0.194264497181803
"GSM1218525",0,0.401076316378936,-4.93935944254632e-17,0.415250764022676,0.303157990711454,0.166710173664834
"GSM1218526",2.77555756156289e-17,0.315454349406543,-3.82443643369938e-17,0.423808255721963,0.35465202758637,0.185933024286177
"GSM1218527",0,0.476991339939081,-4.79068014391457e-17,0.377056620924379,0.251191446945289,0.176631725312074
"GSM1218528",0,0.403372119281044,-4.57489086865808e-17,0.466212822742327,0.300556599517425,0.13170704832294
"GSM1218529",0,0.393015288571245,-4.28146258175296e-17,0.401131842599161,0.332783167970361,0.15627380470742
"GSM1218530",0,0.352031773720082,1.75119304724329e-16,0.45948501407163,0.333986307757317,0.144406504317911
"GSM1218531",0,0.440558793735082,-5.12843675700558e-17,0.410561275565303,0.358652363845334,0.07384212592455
"GSM1218532",0,0.38821964489058,-4.34841678862536e-17,0.38868016743102,0.347399402407748,0.172137274120876
"GSM1218533",0,0.383930495320927,-5.04440191847e-17,0.414505176053429,0.356030306671176,0.121240107892375
"GSM1218534",0,0.363657623597355,-4.22667706749787e-17,0.392474729074574,0.384280059346396,0.14154283276597
"GSM1218535",0,0.368302374108629,1.70714068981613e-16,0.407033187866191,0.388294221185261,0.134977063590056
"GSM1218536",0,0.392649350664476,1.84261901043534e-16,0.466559895170626,0.32035853778153,0.112005984752709
"GSM1218537",0,0.352363865990397,1.77306890346421e-16,0.39148276625053,0.394878917369881,0.133045153206422
"GSM1218538",0,0.401050037931667,-4.5817580846098e-17,0.402692575441287,0.346688841800865,0.143999345377206
"GSM1218539",0,0.399266042375744,1.72997653743231e-16,0.381891396558704,0.366884121552664,0.134205562921045
"GSM1218540",0,0.465080446691932,-5.31269703808257e-17,0.387180894397132,0.283774269956823,0.142348118652417
"GSM1218541",0,0.404864501971953,-4.62925598886406e-17,0.379535102000407,0.311275056993441,0.17674609784817
"GSM1218542",0,0.383315361962602,-4.75035396403742e-17,0.425953861714982,0.314290000526843,0.16262629495992
"GSM1218543",0,0.37845523542992,-2.86835042074655e-17,0.304927102262552,0.522545421457239,0.0514110800250982
"GSM1218544",0,0.434252213259978,-4.63886925119189e-17,0.39799960852991,0.305026631771952,0.15874073252736
"GSM1218545",0,0.376341031988652,-5.01756002106247e-17,0.395450893691616,0.335783220526307,0.179462573860715
"GSM1218546",0,0.381497519737912,-3.58245314072746e-17,0.401104976801418,0.341569981412537,0.163038928867467
"GSM1218547",2.77555756156289e-17,0.388857687648353,1.8299737413385e-16,0.376526152785007,0.351798773015492,0.180660243096147
"GSM1218548",0,0.410708515559723,-5.09889390447693e-17,0.444521642758268,0.305061339351119,0.134350044331671
"GSM1218549",0,0.38779521037355,-4.75209866235411e-17,0.439908873574997,0.31278213332623,0.147108127235083
"GSM1218550",0,0.41957712466667,-1.27136498565773e-17,0.176340292514721,0.59020724836,0.011968749541591
"GSM1218551",0,0.425958681347317,-4.61793523622293e-17,0.40305707486737,0.320485645239212,0.133977384914165
"GSM1218552",2.77555756156289e-17,0.404611925061668,-4.702852616947e-17,0.363306307233519,0.377481922684162,0.122182239779818
"GSM1218553",0,0.384057806426008,-4.02338740152451e-17,0.422549203974752,0.366698825535196,0.121770512107377
"GSM1218554",0,0.359817568369338,-3.42895912896963e-17,0.395010013423642,0.375103465221946,0.160960789123431
"GSM1218555",0,0.421039682967005,-4.66195821386009e-17,0.433309359789009,0.284575028253456,0.148625273713304
"GSM1218556",2.77555756156289e-17,0.329363864504485,-4.56851411818812e-17,0.403884872701266,0.378803567610478,0.151789101740458
"GSM1218557",0,0.346757885899402,-4.3270300233782e-17,0.415954067726214,0.402549711040612,0.102915419970676
"GSM1218558",0,0.468511436996132,-4.44421374364709e-17,0.341981429563714,0.272414919658299,0.184154940534678
"GSM1218559",0,0.350284786964143,-4.01611071794126e-17,0.496114926514313,0.29101357267522,0.143302669955793
"GSM1218560",-2.77555756156289e-17,0.432382876310928,-4.64418473632007e-17,0.388564527803983,0.309968393823232,0.154286133765652
"GSM1218561",0,0.390414696462028,-4.321098540899e-17,0.423885735307007,0.32175076675492,0.161219068118114
"GSM1218562",0,0.366185603953376,-4.21124012415842e-17,0.434278627098746,0.317392116263828,0.166820216529235
"GSM1218563",0,0.391318556790385,-4.16101287116173e-17,0.370520489176968,0.340360080626344,0.16345898201966
"GSM1218564",2.77555756156289e-17,0.426632245330113,-4.35713711593209e-17,0.373778871709759,0.334516446462448,0.151291466184735
"GSM1218565",0,0.389448139655847,1.79808191029657e-16,0.398697259097164,0.350790689072001,0.140603881033323
"GSM1218566",0,0.355852238316441,-4.99776904195161e-17,0.373496416231815,0.361289007934736,0.173844368341832
"GSM1218567",0,0.470420292972658,-3.13047021862346e-17,0.370263200836107,0.281717913681499,0.16572676624093
"GSM1218568",0,0.442001849556456,-4.76959490886721e-17,0.347195817895425,0.297261571518914,0.192739667619099
"GSM1218569",0,0.394872208577256,-4.43860445816804e-17,0.437200477497587,0.335767653423436,0.130407504553371
"GSM1218570",0,0.387391091131543,1.72422631104391e-16,0.384089379995038,0.341152473534944,0.144454145541588
"GSM1218571",0,0.390757851669538,-5.19680615056938e-17,0.41729468077374,0.303075985487478,0.169388885831065
"GSM1218572",0,0.379014451152175,-4.85399001789685e-17,0.428843012404907,0.339467027561637,0.155726807700441
"GSM1218573",0,0.440089836491524,-5.21333690255584e-17,0.378924844548457,0.299222625552691,0.158492613374638
"GSM1218574",0,0.346386446230048,-3.82849028965451e-17,0.351281722487258,0.412968925311036,0.157995475735091
"GSM1218575",0,0.399542578789309,1.75033192478279e-16,0.40858049727961,0.33401276051018,0.144000209897606
"GSM1218576",0,0.39004483389775,1.78786890253358e-16,0.375783090902744,0.352170348626007,0.16692683723515
"GSM1218577",0,0.415155408026656,-3.75509617705707e-17,0.325681077511309,0.365231538945459,0.166005661231272
"GSM1218578",0,0.432303562169429,-4.27094085653842e-17,0.389086384322409,0.320961126810599,0.151382295208448
"GSM1218579",0,0.390975063855009,-3.22399990336402e-17,0.353148593389675,0.401893486275019,0.141161464763916
"GSM1218580",0,0.325815497684309,1.76710026202713e-16,0.37359627657318,0.381035150032176,0.19800048775953
"GSM1218581",0.193174459574011,0.396632209560693,0,0.128147375217859,0.335027429920287,0.11790260467323
