"","Bcell","CD4T","CD8T","Gran","Mono","NK"
"GSM748615",0,0.403074782039022,-4.27811401846658e-17,0.43021858018997,0.333579323486601,0.154125596839589
"GSM748616",0,0.395710202172986,-4.09439542156698e-17,0.454708238339789,0.326036187606522,0.135158369127168
"GSM748617",0,0.327713958594968,-4.07496881141499e-17,0.4256574688077,0.344639907247812,0.204160353944306
"GSM748618",0,0.367494553668086,-3.87987712799758e-17,0.583556357140461,0.251198339846565,0.107054107427829
"GSM748619",0,0.400076747252762,-4.55279071909643e-17,0.445867968087856,0.320503244388022,0.140855913652475
"GSM748620",0,0.401372937281222,-3.91035316958359e-17,0.403453390521681,0.306216385704543,0.18925003012125
"GSM748621",0,0.398139803440197,-3.89473836646645e-17,0.435144715170215,0.334338441782434,0.135421534488282
"GSM748622",0,0.420625419500005,-4.01150155660127e-17,0.40045984615564,0.329063918537974,0.145475305576979
"GSM748623",0,0.413098618309611,-3.68487564605071e-17,0.412551935562039,0.314705627228019,0.157881264119825
"GSM748624",0,0.408551778098654,-4.14589568135972e-17,0.403601490286209,0.335013259549854,0.153316574900817
"GSM748625",0,0.443626243028186,-3.33871928394805e-17,0.405228491853127,0.304378620106448,0.152172606255485
"GSM748626",0,0.445555313807408,-3.3567842198974e-17,0.419187238289898,0.298986088891443,0.133094808191692
"GSM748627",0,0.441155971058536,-3.5820266453708e-17,0.44161252617865,0.29579522593947,0.131337256672616
"GSM748628",0,0.420544755031557,-3.74636048329356e-17,0.399640406870455,0.32702223118573,0.150566360314294
"GSM748629",0,0.421662745342307,-3.62877476066848e-17,0.385029075836017,0.320125181161799,0.180023050380968
"GSM748630",0,0.381176536939148,-4.23484818523083e-17,0.478314663633801,0.334269560286274,0.114015304164643
"GSM748631",0,0.427475377621474,-4.07291658035129e-17,0.411898524741884,0.324096010740906,0.143413511175319
"GSM748632",-2.77555756156289e-17,0.384664831398685,-4.38029436271446e-17,0.449158622912337,0.316985265157785,0.158385758892384
"GSM748633",0,0.406260206580616,-3.7772764580241e-17,0.389753833832399,0.313491327882475,0.181014038392947
"GSM748634",0,0.333203397815864,-3.65620602668957e-17,0.478816404889881,0.319757843734486,0.166511983651903
"GSM748635",0,0.393658667702187,-3.77082138460822e-17,0.435690717914419,0.313675481962546,0.15390990869903
"GSM748636",0,0.423495142222727,-4.10792433512147e-17,0.414304299299538,0.322677525187211,0.148268093431942
"GSM748637",0,0.360383337411719,-3.63498852843857e-17,0.493833577497036,0.317875818135914,0.123310100990514
"GSM748638",2.77555756156289e-17,0.391791173840859,-4.15081972838583e-17,0.399412000382585,0.339776098519461,0.166174193677793
"GSM748639",0,0.41922851077361,-3.83493270903647e-17,0.393864391949136,0.345563031629092,0.137272662765659
"GSM748640",0,0.399037354763863,-4.01570512423784e-17,0.402046915505652,0.345637014700215,0.154741906719124
"GSM748641",0,0.342038527587232,-4.39827748948171e-17,0.461700614324274,0.328945330245916,0.170809900084453
"GSM748642",0,0.386213096438124,-4.3246978323318e-17,0.417379764279717,0.342651446948295,0.159985516732318
"GSM748643",-2.77555756156289e-17,0.40455927390854,-4.12342603589851e-17,0.409722737300189,0.34743664958368,0.146900972845875
"GSM748644",0,0.423976345795039,-3.24855763711025e-17,0.373800371516948,0.31433466331278,0.176166281458818
"GSM748645",0,0.402149589984399,-3.21152592854856e-17,0.424013285531028,0.333160224892566,0.134991155937417
"GSM748646",0,0.373452739885066,-2.59833188187688e-16,0.440391593297224,0.383733091277724,0.085069780846308
"GSM748647",0,0.371312609190382,-3.36357333416711e-17,0.431310280617279,0.392090602030612,0.114306533844927
"GSM748648",0,0.414153347519854,-3.57305876165508e-17,0.372110894949615,0.329914269450582,0.176310105791293
"GSM748649",0,0.407165878235727,-4.04857897071289e-17,0.38419033127308,0.329752759875215,0.175317468006643
"GSM748650",-2.77555756156289e-17,0.362839014557318,1.77842325051301e-16,0.425625372488585,0.389514129195955,0.13334213921824
"GSM748651",0,0.412224582818911,-4.14942415660231e-17,0.430314531310947,0.323718813480464,0.145431623154502
"GSM748652",0,0.433599732183034,-3.99636418329436e-17,0.419616610366697,0.316968517494576,0.138144733237965
